--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                                                                                                                                                                    Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                                                                                                                                               gpu_model_runner: forward         0.00%       0.000us         0.00%       0.000us       0.000us       9.022ms       123.24%       9.022ms       9.022ms             1
                                                                                                                                                                            gpu_model_runner: preprocess         0.00%       0.000us         0.00%       0.000us       0.000us       3.245ms        44.33%       3.245ms       3.245ms             1
                                                                                                                                                                     nvjet_tst_128x16_64x11_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.563ms        35.01%       2.563ms      80.081us            32
                                                                                                                                                                                gpu_model_runner: sample         0.00%       0.000us         0.00%       0.000us       0.000us       1.912ms        26.12%       1.912ms       1.912ms             1
                                                                                                                                                               nvjet_tst_64x16_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.321ms        18.04%       1.321ms      41.277us            32
                                                                                                                                                                                        _vllm_fa3_C::fwd         1.36%     329.674us         3.20%     775.434us      24.232us       1.186ms        16.20%       1.186ms      37.064us            32
void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMainloopFwdSm90<2, cute::tuple<cute::C<1>, cute::C<1>, cute::C<1> >, cute::tuple<cute::C<64>, cute::...         0.00%       0.000us         0.00%       0.000us       0.000us       1.037ms        14.16%       1.037ms      32.397us            32
                                                                                                                                                                      nvjet_tst_64x16_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     671.486us         9.17%     671.486us      20.984us            32
                                                                                                                                                              nvjet_tst_128x16_64x11_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     456.417us         6.23%     456.417us      14.263us            32
                                                                                                                                                                           gpu_model_runner: postprocess         0.00%       0.000us         0.00%       0.000us       0.000us     360.385us         4.92%     360.385us     360.385us             1
                                                                                                                                                                                                aten::mm         0.23%      55.500us         0.29%      69.934us      69.934us     350.210us         4.78%     350.210us     350.210us             1
                                                                                                                                                                       nvjet_tst_384x8_64x4_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     349.441us         4.77%     349.441us     349.441us             1
void cutlass::device_kernel<flash::FlashAttnFwdCombine<cute::tuple<cute::C<8>, cute::C<128> >, 5, 256, 1, false, true, cutlass::bfloat16_t, float, cutlass::arch::Sm90> >(flash::FlashAttnFwdCombine<...         0.00%       0.000us         0.00%       0.000us       0.000us     149.343us         2.04%     149.343us       4.667us            32
